mef_A_4_HG423652.v1	29	DTU_2016_13_5_MG_AUS-18a_4,DTU_2016_240_1_MG_Reproduce_18a_1,DTU_2016_241_2_MG_Reproduce_18a_3,DTU_2016_9_1_MG_AUS-18a,DTU_2017_380_1_MG_MU_PL,DTU_2017_384_1_MG_AU_DD,DTU_2017_398_1_MG_US_SE,DTU_2017_435_1_MG_KR_GW,DTU_2017_437_1_MG_AU_ME,DTU_2017_454_1_MG_SG_JU,DTU_2017_494_1_MG_PT_LI_190,DTU_2017_558_1_MG_AU_ME_254,DTU_2017_613_1_MG_NZ_CH_309,DTU_2017_959_1_MG_AU1707_L1,DTU_2017_983_1_MG_US1709_L28,DTU_2017_984_1_MG_US1710_L29,DTU_2017_998_1_MG_AU1712_L43,DTU_2018_1000_1_MG_AU1802_L45,DTU_2018_1014_1_MG_MY1805_L63,DTU_2018_1018_1_MG_US1808_L69,DTU_2018_740_1_MG_FI_HE_437,DTU_2018_751_1_MG_US_SE_448,DTU_2018_757_1_MG_AU_ME_454,DTU_2018_801_1_MG_SE_GO_485,DTU_2018_858_1_MG_MU_SM_542,DTU_2018_875_1_MG_AU_DD_559,DTU_2018_911_1_MG_SG_JU_596,DTU_2018_915_1_MG_NZ_CH_600,DTU_2018_987_1_MG_MY1801_L32
mef_A_4_HG423652.v4	11	DTU_2017_317_1_MG_CM_YA,DTU_2017_364_1_MG_TZ_MW,DTU_2017_424_1_MG_TZ_MS,DTU_2017_447_1_MG_UG_KA,DTU_2017_460_1_MG_KE_NA,DTU_2017_528_1_MG_SK_BR_224,DTU_2017_531_1_MG_UG_KA_227,DTU_2018_694_1_MG_MU_SM_383,DTU_2018_735_1_MG_CI_YA_2_432,DTU_2018_859_1_MG_MU_GB_543,DTU_2018_919_2_MG_DK_AM_603_re_1
mef_A_4_HG423652.v3	8	DTU_2016_164_1_MG_SVN-38,DTU_2017_574_1_MG_LU_LU_270,DTU_2018_1023_1_MG_CA1803_L74,DTU_2018_1024_1_MG_CA1804_L75,DTU_2018_708_1_MG_CA_RE_396,DTU_2018_814_1_MG_HR_ZA_498,DTU_2018_872_1_MG_GB_EB_556,DTU_2018_913_1_MG_RS_BE_598
mef_A_4_HG423652.v9	5	DTU_2017_595_1_MG_CM_YA_291,DTU_2017_981_1_MG_CM1708_L26,DTU_2018_1070_1_MG_TZ_MO_8,DTU_2018_871_1_MG_CH_BR_555,DTU_2018_942_1_MG_CO_BU_8_624
mef_A_4_HG423652.v5	4	DTU_2017_348_1_MG_SI_LJ,DTU_2018_1027_1_MG_CA1808_L78,DTU_2018_722_1_MG_AR_BA_419,DTU_2018_828_1_MG_SI_LJ_512
mef_A_4_HG423652.v2	4	DTU_2016_148_1_MG_NPL-33,DTU_2017_373_1_MG_BD_DH,DTU_2017_592_1_MG_NP_BH_288,DTU_2018_687_1_MG_PK_FA_375
mef_A_4_HG423652.v7	3	DTU_2017_506_1_MG_FR_NA_202,DTU_2018_1064_1_MG_TZ_MO_2,DTU_2018_821_1_MG_IS_RE_505
mef_A_4_HG423652.v6	3	DTU_2017_441_1_MG_CA_VA,DTU_2018_864_1_MG_CN_NA_548,DTU_2018_903_1_MG_CA_RE_588
mef_A_4_HG423652.v8	1	DTU_2017_521_1_MG_KR_DA_217
mef_A_4_HG423652.v11	1	DTU_2018_1067_1_MG_TZ_MO_5
mef_A_4_HG423652.v10	1	DTU_2017_606_1_MG_GH_KU_302
mef_A_4_HG423652.R	0	*
