aadA2_2_JQ364967.R	22	DTU_2016_129_1_MG_MLT-63,DTU_2016_130_2_MG_MLT-63_1,DTU_2016_53_1_MG_CHN-64,DTU_2017_311_1_MG_TD_ND,DTU_2017_316_1_MG_MY_KG,DTU_2017_386_1_MG_MT_MN,DTU_2017_387_1_MG_MT_GO,DTU_2017_416_2_MG_NG_ZA_b,DTU_2017_419_2_MG_NG_IB_b,DTU_2017_498_1_MG_NI_LE_194,DTU_2017_515_1_MG_TZ_MO_211,DTU_2017_524_1_MG_CI_YA_220,DTU_2017_531_1_MG_UG_KA_227,DTU_2017_591_1_MG_NP_KA_287,DTU_2018_1014_1_MG_MY1805_L63,DTU_2018_824_1_MG_MY_KL_508,DTU_2018_837_1_MG_BR_RJ_521,DTU_2018_859_1_MG_MU_GB_543,DTU_2018_866_1_MG_BW_GA_550,DTU_2018_868_1_MG_CH_SU_552,DTU_2018_936_1_MG_CO_BU_2_618,DTU_2018_979_1_MG_CM1801_L24
aadA2_1_NC_010870.R	17	DTU_2017_343_1_MG_NZ_CH,DTU_2017_385_1_MG_MT_MS,DTU_2017_531_1_MG_UG_KA_227,DTU_2017_982_1_MG_CM1709_L27,DTU_2018_1019_1_MG_AU1807_L70,DTU_2018_1039_1_MG_CM1804_L96,DTU_2018_1064_1_MG_TZ_MO_2,DTU_2018_1066_1_MG_TZ_MO_4,DTU_2018_1068_1_MG_TZ_MO_6,DTU_2018_1069_1_MG_TZ_MO_7,DTU_2018_1070_1_MG_TZ_MO_8,DTU_2018_669_1_MG_PT_LI_357,DTU_2018_682_1_MG_TZ_MW_370,DTU_2018_723_1_MG_UG_KA_420,DTU_2018_735_1_MG_CI_YA_2_432,DTU_2018_856_1_MG_UG_KA_540,DTU_2018_938_1_MG_CO_BU_4_620
aadA2_1_NC_010870.v1	12	DTU_2016_235_7_MG_ZMB-49b_6,DTU_2017_355_1_MG_SN_DA,DTU_2017_412_2_MG_NG_IL_b,DTU_2017_429_1_MG_TH_PA,DTU_2017_534_1_MG_MY_KL_230,DTU_2017_549_1_MG_TH_PA_245,DTU_2017_612_1_MG_AE_AD_308,DTU_2017_981_1_MG_CM1708_L26,DTU_2018_1014_1_MG_MY1805_L63,DTU_2018_854_1_MG_KH_PP_538,DTU_2018_883_1_MG_GH_KA_570,DTU_2018_890_1_MG_NG_IL_2_577
aadA3_1_AF047479.v1	3	DTU_2017_389_1_MG_SA_KA,DTU_2018_665_1_MG_SA_KA_353,DTU_2018_827_1_MG_SA_KA_511
aadA8b_1_AY139603.R	2	DTU_2017_595_1_MG_CM_YA_291,DTU_2018_908_1_MG_NG_LA_593
aadA8_1_AF326210.v1	2	DTU_2017_636_1_MG_RS_BE_332,DTU_2018_913_1_MG_RS_BE_598
aadA3_1_AF047479.R	1	DTU_2018_724_1_MG_NG_LA_421
aadA2_1_NC_010870.v3	1	DTU_2018_886_1_MG_NG_IL_573
aadA2_1_NC_010870.v2	1	DTU_2017_453_1_MG_BF_BO
aadA8_1_AF326210.R	0	*
